[Miner-Chain-Txn-Fault] PS-1    PS-2    PS-3    WN-1    WN-2    WN-3    TC-1    TC-2    TC-3
16-4-100-0              8203    8202    8233    1179    1182    1177    1070    1066    1062
16-4-1000-0             82054   82058   82051   11814   11831   11823   10662   10649   10664
32-4-100-0              8308    8284    8340    1345    1326    1339    1134    1134    1123
32-4-1000-0             83045   82946   82885   13292   13339   13295   11277   11224   11215
32-8-100-0              16339   16323   16326   1228    1244    1221    1086    1124    1081
32-8-1000-0             163297  163282  163372  12123   12208   12144   10813   10817   10819
64-4-100-0              8599    8586    8627    1861    1936    1812    1612    1295    1329
64-4-1000-0             85856   85939   85806   17796   17392   17207   13747   13737   13639
64-8-100-0              16442   16423   16463   1619    1438    1426    1322    1287    1247
64-8-1000-0             164677  164478  164629  15444   15034   15160   12486   12746   12876
64-16-100-0             32587   32572   32574   1578    1474    1359    1194    1283    1141
64-16-1000-0            325699  325811  325780  14335   14069   14319   12208   12211   12436
128-4-100-0             9421    9451    9478    2615    2698    2756    1579    2280    1786
128-4-1000-0            93455   93291   93323   28272   26892   26843   16751   16772   17378
128-8-100-0             16790   16811   16810   1903    1940    1931    1723    1428    1415
128-8-1000-0            167929  167989  167923  19075   18932   18932   22967   15454   14856
128-16-100-0            32769   32725   32785   1582    1545    1774    1592    2320    1251
128-16-1000-0           327605  327316  327451  16476   18563   16642   14138   14122   13748
128-32-100-0            65082   65081   65073   1646    1514    3156    2335    1305    1333
128-32-1000-0           650913  650742  650768  15771   15892   15772   13681   13727   13691
